Age,Age_Group,Gender,Income,Total_Purchases,Total_Amount,High_Spender
19,19-30,Female,Medium,6,1095.301541,N
19,19-30,Male,Medium,9,3539.227308,Y
19,19-30,Male,Medium,9,4460.320439,Y
19,19-30,Male,Medium,2,693.48783,N
19,19-30,Female,Medium,10,4240.724513,Y
19,19-30,Female,Medium,4,784.1322642,N
19,19-30,Male,Medium,9,875.4311684,N
19,19-30,Male,Medium,8,1542.704847,Y
19,19-30,Male,Medium,2,741.4133506,N
19,19-30,Female,Medium,10,2994.715972,Y
19,19-30,Male,Medium,6,931.7881388,N
19,19-30,Female,Medium,9,1266.72874,N
19,19-30,Female,Medium,1,436.0089017,N
19,19-30,Male,Medium,8,2814.045859,Y
19,19-30,Female,Medium,0,973.9382007,N
19,19-30,Male,Medium,3,275.8155768,N
19,19-30,Male,Medium,4,75.981394,N
19,19-30,Female,Medium,8,1114.555931,N
19,19-30,Male,Medium,6,2079.447246,Y
19,19-30,Male,Medium,6,448.9677915,N
19,19-30,Male,Medium,3,97.44705592,N
19,19-30,Male,Medium,4,1520.238187,Y
19,19-30,Male,Medium,9,99.00644921,N
19,19-30,Male,Medium,8,790.6400176,N
19,19-30,Female,Medium,7,1324.388845,N
19,19-30,Female,Medium,7,1391.200335,Y
19,19-30,Male,Medium,3,1466.783417,Y
19,19-30,Male,Medium,5,1828.472685,Y
19,19-30,Female,Medium,7,1368.671294,Y
19,19-30,Male,Medium,5,1825.114416,Y
19,19-30,Male,Medium,2,139.2124147,N
19,19-30,Female,Medium,6,1722.717096,Y
19,19-30,Female,Medium,6,2195.484626,Y
19,19-30,Female,Medium,7,692.4686762,N
19,19-30,Male,Medium,10,1897.290159,Y
19,19-30,Female,Medium,5,2280.703406,Y
19,19-30,Male,Medium,2,447.8476336,N
19,19-30,Male,Medium,4,735.6584058,N
19,19-30,Male,Medium,4,185.3357748,N
19,19-30,Female,Medium,10,674.9794224,N
19,19-30,Male,Medium,4,229.2933227,N
19,19-30,Female,Medium,6,631.6464787,N
19,19-30,Male,Medium,7,3431.058092,Y
19,19-30,Male,Medium,3,1031.719069,N
19,19-30,Male,Medium,7,1031.27067,N
19,19-30,Male,Medium,9,1595.658248,Y
19,19-30,Male,Medium,9,956.1329576,N
19,19-30,Male,Medium,4,1380.000724,Y
19,19-30,Male,Medium,1,171.3683443,N
19,19-30,Male,Medium,5,1587.394832,Y
19,19-30,Female,Medium,2,925.901724,N
19,19-30,Female,Medium,1,138.91952,N
19,19-30,Female,Medium,9,3475.096276,Y
19,19-30,Female,Medium,6,1904.967735,Y
19,19-30,Male,Medium,7,573.5222594,N
19,19-30,Male,Medium,5,2338.699904,Y
19,19-30,Male,Medium,6,1103.895983,N
19,19-30,Female,Medium,1,107.6012453,N
19,19-30,Male,Medium,2,388.9048103,N
19,19-30,Female,Medium,4,175.4785593,N
19,19-30,Male,Medium,6,1275.881979,N
19,19-30,Female,Medium,8,1471.689941,Y
19,19-30,Male,Medium,4,448.93995,N
19,19-30,Female,Medium,2,27.57936699,N
19,19-30,Female,Medium,4,1674.860767,Y
19,19-30,Male,Medium,2,430.0960586,N
19,19-30,Female,Medium,1,467.4828088,N
19,19-30,Male,Medium,6,1712.972097,Y
19,19-30,Male,Medium,5,470.7966263,N
19,19-30,Male,Medium,2,627.1960837,N
19,19-30,Female,Medium,2,273.7311577,N
19,19-30,Female,Medium,3,1071.487343,N
19,19-30,Female,Medium,5,917.1248241,N
19,19-30,Male,Medium,8,2372.278333,Y
19,19-30,Male,Medium,10,4444.313039,Y
19,19-30,Female,Medium,4,657.042851,N
19,19-30,Female,Medium,3,437.0548982,N
19,19-30,Male,Medium,1,115.0810414,N
19,19-30,Male,Medium,8,1449.684118,Y
19,19-30,Male,Medium,1,37.30017973,N
19,19-30,Male,Medium,5,1563.438436,Y
19,19-30,Male,Medium,10,1352.19863,N
19,19-30,Male,Medium,4,918.0710408,N
19,19-30,Female,Medium,5,1067.95501,N
19,19-30,Male,Medium,10,4886.736671,Y
19,19-30,Male,Medium,1,89.77046177,N
19,19-30,Male,Medium,5,529.5694957,N
19,19-30,Male,Medium,10,2896.679801,Y
19,19-30,Male,Medium,3,1052.603391,N
19,19-30,Male,Medium,6,232.5946149,N
19,19-30,Male,Medium,10,223.8421961,N
19,19-30,Female,Medium,4,909.8125936,N
19,19-30,Male,Medium,8,653.57741,N
19,19-30,Male,Medium,8,512.7389446,N
19,19-30,Male,Medium,10,2287.000332,Y
19,19-30,Male,Medium,7,616.4927254,N
19,19-30,Male,Medium,3,1218.685445,N
19,19-30,Female,Medium,7,1459.133666,Y
19,19-30,Male,Medium,4,305.9941514,N
19,19-30,Female,Medium,5,155.1711828,N
19,19-30,Female,Medium,7,1404.626884,Y
19,19-30,Male,Medium,7,800.3058239,N
19,19-30,Female,Medium,6,1711.562914,Y
19,19-30,Male,Medium,2,620.1571509,N
19,19-30,Female,Medium,1,311.9534762,N
19,19-30,Male,Medium,9,4254.642997,Y
19,19-30,Male,Medium,9,4307.291775,Y
19,19-30,Male,Medium,1,381.958415,N
19,19-30,Female,Medium,2,90.64143534,N
19,19-30,Male,Medium,7,2088.196443,Y
19,19-30,Male,Medium,7,2224.137522,Y
19,19-30,Female,Medium,3,672.0786831,N
19,19-30,Female,Medium,4,1743.955511,Y
19,19-30,Male,Medium,4,399.5822694,N
19,19-30,Male,Medium,6,2026.134619,Y
19,19-30,Male,Medium,4,55.67626852,N
19,19-30,Female,Medium,3,1481.269977,Y
19,19-30,Male,Medium,5,734.9872545,N
19,19-30,Male,Medium,7,1552.278072,Y
19,19-30,Male,Medium,10,4597.920545,Y
19,19-30,Male,Medium,2,580.4826005,N
19,19-30,Female,Medium,3,1293.931782,N
19,19-30,Male,Medium,4,225.9472095,N
19,19-30,Male,Medium,2,580.6019601,N
19,19-30,Male,Medium,5,1097.126007,N
19,19-30,Female,Medium,10,419.4292344,N
19,19-30,Male,Medium,4,1267.955782,N
19,19-30,Female,Medium,10,2425.981397,Y
19,19-30,Male,Medium,9,2344.398315,Y
19,19-30,Female,Medium,1,153.0225762,N
19,19-30,Male,Medium,3,394.8321467,N
19,19-30,Female,Medium,4,169.0132378,N
19,19-30,Male,Medium,7,2668.962249,Y
19,19-30,Male,Medium,2,675.7185895,N
19,19-30,Female,Medium,6,745.1859315,N
19,19-30,Female,Medium,2,700.3293126,N
19,19-30,Male,Medium,5,85.30588999,N
19,19-30,Male,Medium,1,270.6189575,N
19,19-30,Female,Medium,1,318.7202743,N
19,19-30,Female,Medium,4,388.9130371,N
19,19-30,Female,Medium,5,1472.830436,Y
19,19-30,Male,Medium,5,1970.017674,Y
19,19-30,Male,Medium,8,1048.057846,N
19,19-30,Male,Medium,8,1421.523467,Y
19,19-30,Female,Medium,8,2463.058445,Y
19,19-30,Male,Medium,5,1750.280838,Y
19,19-30,Female,Medium,10,3504.830917,Y
19,19-30,Female,Medium,5,393.9053254,N
19,19-30,Female,Medium,5,2352.761865,Y
19,19-30,Male,Medium,1,124.8412241,N
19,19-30,Male,Medium,1,324.05693,N
19,19-30,Male,Medium,5,606.6120758,N
19,19-30,Female,Medium,10,4686.885767,Y
19,19-30,Female,Medium,3,893.2272524,N
19,19-30,Male,Medium,10,1881.730807,Y
19,19-30,Female,Medium,8,2531.597274,Y
19,19-30,Female,Medium,8,946.5202449,N
19,19-30,Female,Medium,3,644.3943775,N
19,19-30,Male,Medium,1,98.29634561,N
19,19-30,Male,Medium,3,146.0313406,N
19,19-30,Male,Medium,9,3706.28989,Y
19,19-30,Male,Medium,3,1163.91346,N
19,19-30,Male,Medium,8,718.4016469,N
19,19-30,Female,Medium,3,1081.178835,N
19,19-30,Male,Medium,5,2076.666445,Y
19,19-30,Male,Medium,5,2113.881088,Y
19,19-30,Male,Medium,8,669.4898099,N
19,19-30,Male,Medium,8,2408.106811,Y
19,19-30,Female,Medium,4,291.5643925,N
19,19-30,Male,Medium,1,417.1467548,N
19,19-30,Male,Medium,1,471.0796399,N
19,19-30,Female,Medium,6,2408.763207,Y
19,19-30,Female,Medium,3,1126.032429,N
19,19-30,Male,Medium,10,1416.083519,Y
19,19-30,Male,Medium,4,491.3994455,N
19,19-30,Female,Medium,1,11.80811185,N
19,19-30,Female,Medium,6,688.9120225,N
19,19-30,Female,Medium,5,1680.955748,Y
19,19-30,Female,Medium,6,490.4745082,N
19,19-30,Male,Medium,2,115.9536504,N
19,19-30,Female,Medium,7,1487.720344,Y
19,19-30,Male,Medium,4,295.3568113,N
19,19-30,Male,Medium,10,715.9003466,N
19,19-30,Female,Medium,10,1006.553365,N
19,19-30,Female,Medium,10,3283.514093,Y
19,19-30,Male,Medium,6,2281.819823,Y
19,19-30,Male,Medium,2,318.1941989,N
19,19-30,Female,Medium,7,2114.470966,Y
19,19-30,Female,Medium,10,2014.634127,Y
19,19-30,Female,Medium,6,486.2948661,N
19,19-30,Male,Medium,3,857.571294,N
19,19-30,Male,Medium,3,1234.845745,N
19,19-30,Male,Medium,4,1775.603519,Y
19,19-30,Male,Medium,7,2985.942395,Y
19,19-30,Male,Medium,10,2135.243315,Y
19,19-30,Female,Medium,2,434.990803,N
19,19-30,Male,Medium,1,439.2235226,N
19,19-30,Male,Medium,1,25.2956908,N
19,19-30,Male,Medium,10,131.2892966,N
19,19-30,Female,Medium,5,1734.041285,Y
19,19-30,Male,Medium,9,1335.492215,N
19,19-30,Male,Medium,8,648.4573767,N
19,19-30,Male,Medium,2,236.1482311,N
19,19-30,Male,Medium,7,1436.985444,Y
19,19-30,Male,Medium,1,211.0696629,N
19,19-30,Female,Medium,2,888.9627228,N
19,19-30,Male,Medium,0,1114.469,N
19,19-30,Male,Medium,1,21.49158196,N
19,19-30,Male,Medium,1,346.0025358,N
19,19-30,Male,Medium,6,1903.968706,Y
19,19-30,Female,Medium,6,2345.749144,Y
19,19-30,Male,Medium,8,1801.145733,Y
19,19-30,Male,Medium,10,3102.952293,Y
19,19-30,Female,Medium,2,454.5687764,N
19,19-30,Female,Medium,4,1611.115868,Y
19,19-30,Male,Medium,4,890.4104415,N
19,19-30,Male,Medium,6,485.4275589,N
19,19-30,Male,Medium,1,160.6163543,N
19,19-30,Male,Medium,10,4212.719219,Y
19,19-30,Male,Medium,9,1572.840696,Y
19,19-30,Female,Medium,2,568.215268,N
19,19-30,Female,Medium,7,856.6279822,N
19,19-30,Female,Medium,8,1255.100402,N
19,19-30,Male,Medium,6,1595.91554,Y
19,19-30,Male,Medium,8,3234.933982,Y
19,19-30,Male,Medium,6,2994.770638,Y
19,19-30,Female,Medium,8,1072.198216,N
19,19-30,Male,Medium,7,3495.805634,Y
19,19-30,Male,Medium,8,1473.152064,Y
19,19-30,Male,Medium,10,3828.452464,Y
19,19-30,Female,Medium,4,713.321302,N
19,19-30,Female,Medium,4,1918.191886,Y
19,19-30,Female,Medium,2,107.357646,N
19,19-30,Female,Medium,7,1877.687051,Y
19,19-30,Female,Medium,6,376.4603848,N
19,19-30,Male,Medium,8,2071.766179,Y
19,19-30,Male,Medium,9,501.9159238,N
19,19-30,Male,Medium,2,607.9683613,N
19,19-30,Female,Medium,4,1249.865995,N
19,19-30,Male,Medium,1,46.46986598,N
19,19-30,Male,Medium,9,694.2193871,N
19,19-30,Male,Medium,1,295.750767,N
19,19-30,Female,Medium,4,238.4560809,N
19,19-30,Male,Medium,9,1102.757351,N
19,19-30,Male,Medium,10,1666.115886,Y
19,19-30,Male,Medium,9,180.618055,N
19,19-30,Female,Medium,9,4394.773676,Y
19,19-30,Female,Medium,7,283.877109,N
19,19-30,Male,Medium,1,384.4240841,N
19,19-30,Male,Medium,10,3853.378008,Y
19,19-30,Male,Medium,4,598.841368,N
19,19-30,Female,Medium,5,687.750975,N
19,19-30,Female,Medium,5,123.1201118,N
19,19-30,Male,Medium,2,20.76389042,N
19,19-30,Female,Medium,4,735.2069979,N
19,19-30,Male,Medium,2,230.5050604,N
19,19-30,Male,Medium,1,22.7865509,N
19,19-30,Male,Medium,5,2490.230976,Y
19,19-30,Female,Medium,5,2249.051339,Y
19,19-30,Female,Medium,2,43.16195356,N
19,19-30,Male,Medium,3,1229.945264,N
19,19-30,Male,Medium,1,475.5964574,N
19,19-30,Female,Medium,7,939.0535131,N
19,19-30,Male,Medium,3,970.8988958,N
19,19-30,Male,Medium,5,858.7501999,N
19,19-30,Female,Medium,5,1475.816412,Y
19,19-30,Female,Medium,1,270.9565267,N
19,19-30,Male,Medium,8,1666.943147,Y
19,19-30,Female,Medium,9,2503.112213,Y
19,19-30,Female,Medium,6,333.2372704,N
19,19-30,Female,Medium,5,1047.002254,N
19,19-30,Male,Medium,3,511.300808,N
19,19-30,Female,Medium,4,473.1573768,N
19,19-30,Female,Medium,1,99.07310231,N
19,19-30,Male,Medium,1,450.2163958,N
19,19-30,Male,Medium,5,1251.027219,N
19,19-30,Male,Medium,4,1543.779375,Y
19,19-30,Male,Medium,1,301.2395191,N
19,19-30,Male,Medium,4,109.5316249,N
19,19-30,Male,Medium,7,348.3094939,N
19,19-30,Female,Medium,4,1733.280974,Y
19,19-30,Male,Medium,4,567.1649005,N
19,19-30,Male,Medium,1,214.0252557,N
19,19-30,Male,Medium,8,3246.003318,Y
19,19-30,Female,Medium,8,362.0257986,N
19,19-30,Male,Medium,3,1389.036633,Y
19,19-30,Male,Medium,4,1794.841662,Y
19,19-30,Female,Medium,6,323.8638628,N
19,19-30,Female,Medium,4,803.3550591,N
19,19-30,Female,Medium,1,331.3987014,N
19,19-30,Female,Medium,4,190.9422706,N
19,19-30,Male,Medium,10,2629.695494,Y
19,19-30,Male,Medium,5,418.426054,N
19,19-30,Male,Medium,7,889.3855202,N
19,19-30,Male,Medium,6,1100.619916,N
19,19-30,Female,Medium,8,1499.294541,Y
19,19-30,Male,Medium,4,1834.107065,Y
19,19-30,Female,Medium,3,255.7410577,N
19,19-30,Male,Medium,3,842.1095028,N
19,19-30,Male,Medium,8,3446.948579,Y
19,19-30,Male,Medium,8,2115.349735,Y
19,19-30,Male,Medium,7,1973.70565,Y
19,19-30,Male,Medium,1,185.9053321,N
19,19-30,Male,Medium,1,266.357144,N
19,19-30,Male,Medium,7,2999.171251,Y
19,19-30,Male,Medium,8,1307.353794,N
19,19-30,Female,Medium,7,1652.786986,Y
19,19-30,Female,Medium,9,4366.631431,Y
19,19-30,Male,Medium,8,3575.243894,Y
19,19-30,Female,Medium,6,2936.102439,Y
19,19-30,Male,Medium,9,1939.368814,Y
19,19-30,Female,Medium,5,1220.036066,N
19,19-30,Female,Medium,7,701.3343798,N
19,19-30,Male,Medium,6,1588.602498,Y
19,19-30,Male,Medium,5,2330.234584,Y
19,19-30,Male,Medium,5,557.2917164,N
19,19-30,Female,Medium,8,1207.551547,N
19,19-30,Female,Medium,7,3224.813599,Y
19,19-30,Male,Medium,10,1654.850381,Y
19,19-30,Female,Medium,5,469.8355844,N
19,19-30,Female,Medium,4,1383.325804,Y
19,19-30,Male,Medium,5,1840.152007,Y
19,19-30,Male,Medium,6,882.8992133,N
19,19-30,Male,Medium,9,1111.888299,N
19,19-30,Female,Medium,10,4674.948648,Y
19,19-30,Female,Medium,4,298.1793784,N
19,19-30,Female,Medium,3,1212.543427,N
19,19-30,Male,Medium,4,925.2674703,N
19,19-30,Male,Medium,1,444.6603566,N
19,19-30,Male,Medium,9,3734.389236,Y
19,19-30,Female,Medium,4,639.5500479,N
19,19-30,Male,Medium,1,173.6059796,N
19,19-30,Female,Medium,2,611.4900227,N
19,19-30,Female,Medium,6,2234.401292,Y
19,19-30,Female,Medium,4,368.00725,N
19,19-30,Female,Medium,9,758.6072715,N
19,19-30,Female,Medium,6,1916.344471,Y
19,19-30,Male,Medium,9,2584.754582,Y
19,19-30,Male,Medium,8,778.7523775,N
19,19-30,Male,Medium,4,1963.4205612,Y
19,19-30,Female,Medium,5,2282.919404,Y
19,19-30,Male,Medium,8,2715.190272,Y
19,19-30,Female,Medium,5,678.641433,N
19,19-30,Female,Medium,9,104.9571654,N
19,19-30,Female,Medium,2,892.983738,N
19,19-30,Male,Medium,1,63.50758031,N
19,19-30,Male,Medium,8,3480.566321,Y
19,19-30,Male,Medium,7,848.3483913,N
19,19-30,Male,Medium,3,71.89643268,N
19,19-30,Male,Medium,9,1630.80403,Y
19,19-30,Female,Medium,8,1186.644707,N
19,19-30,Male,Medium,8,2159.63046,Y
19,19-30,Male,Medium,6,391.1904587,N
19,19-30,Male,Medium,8,3526.799492,Y
19,19-30,Female,Medium,2,217.6381073,N
19,19-30,Male,Medium,4,197.7679849,N
19,19-30,Male,Medium,3,1271.22937,N
19,19-30,Male,Medium,7,1095.196922,N
19,19-30,Female,Medium,1,392.2242989,N
19,19-30,Male,Medium,10,4507.371095,Y
19,19-30,Female,Medium,4,131.884864,N
19,19-30,Male,Medium,5,1778.005333,Y
19,19-30,Female,Medium,10,2664.003654,Y
19,19-30,Male,Medium,7,829.3688392,N
19,19-30,Male,Medium,10,2952.581454,Y
19,19-30,Male,Medium,10,4635.575022,Y
19,19-30,Male,Medium,3,1085.837973,N
19,19-30,Female,Medium,2,346.4360327,N
19,19-30,Male,Medium,9,1145.303907,N
19,19-30,Male,Medium,9,3075.100572,Y
19,19-30,Female,Medium,7,1396.816046,Y
19,19-30,Male,Medium,8,2006.068909,Y
19,19-30,Male,Medium,6,2679.518347,Y
19,19-30,Male,Medium,9,1871.704553,Y
19,19-30,Female,Medium,4,1566.069332,Y
19,19-30,Female,Medium,4,1677.975298,Y
19,19-30,Male,Medium,6,970.3431816,N
19,19-30,Male,Medium,8,3943.585639,Y
19,19-30,Female,Medium,1,73.18414606,N
19,19-30,Female,Medium,10,4360.862266,Y
19,19-30,Male,Medium,4,421.6829065,N
19,19-30,Female,Medium,8,2909.591371,Y
19,19-30,Female,Medium,10,4831.042029,Y
19,19-30,Male,Medium,5,2173.536841,Y
19,19-30,Female,Medium,9,2721.605292,Y
19,19-30,Male,Medium,6,547.5635618,N
19,19-30,Male,Medium,1,418.516476,N
19,19-30,Female,Medium,5,1681.558353,Y
19,19-30,Male,Medium,2,557.5176096,N
19,19-30,Male,Medium,4,1580.918931,Y
19,19-30,Male,Medium,9,1384.950794,Y
19,19-30,Male,Medium,1,11.76772368,N
19,19-30,Male,Medium,5,77.31997109,N
19,19-30,Female,Medium,2,651.9480006,N
19,19-30,Male,Medium,2,660.3937528,N
19,19-30,Male,Medium,8,2297.317612,Y
19,19-30,Male,Medium,3,944.1427291,N
19,19-30,Female,Medium,2,39.96413717,N
19,19-30,Male,Medium,9,4379.155781,Y
19,19-30,Male,Medium,9,2811.166562,Y
19,19-30,Female,Medium,6,2839.497585,Y
19,19-30,Female,Medium,4,1499.430032,Y
19,19-30,Female,Medium,1,146.8540058,N
19,19-30,Male,Medium,5,1335.286374,N
19,19-30,Male,Medium,1,412.1249719,N
19,19-30,Male,Medium,2,514.0142485,N
19,19-30,Female,Medium,3,763.3341692,N
19,19-30,Female,Medium,9,4325.59336,Y
19,19-30,Male,Medium,5,81.87229974,N
19,19-30,Male,Medium,7,2403.231608,Y
19,19-30,Female,Medium,3,112.9219146,N
19,19-30,Female,Medium,3,429.3582594,N
19,19-30,Male,Medium,9,1868.52142,Y
19,19-30,Male,Medium,6,2383.048626,Y
19,19-30,Male,Medium,2,359.2476762,N
19,19-30,Male,Medium,2,422.3683938,N
19,19-30,Male,Medium,10,2265.958738,Y
19,19-30,Female,Medium,5,2039.97191,Y
19,19-30,Male,Medium,3,1255.270968,N
19,19-30,Male,Medium,7,3340.747885,Y
19,19-30,Female,Medium,8,3654.792621,Y
19,19-30,Female,Medium,3,1360.134621,N
19,19-30,Male,Medium,6,1982.964307,Y
19,19-30,Female,Medium,4,331.3463364,N
19,19-30,Male,Medium,10,1706.907156,Y
19,19-30,Male,Medium,6,2705.936416,Y
19,19-30,Female,Medium,3,1057.33342,N
19,19-30,Female,Medium,2,271.9390277,N
19,19-30,Female,Medium,7,3241.679597,Y
19,19-30,Male,Medium,4,203.2181378,N
19,19-30,Male,Medium,5,781.2163387,N
19,19-30,Female,Medium,2,321.1859813,N
19,19-30,Male,Medium,6,2515.928238,Y
19,19-30,Male,Medium,9,2698.790783,Y
19,19-30,Male,Medium,1,163.6597718,N
19,19-30,Male,Medium,4,779.1769907,N
19,19-30,Male,Medium,3,942.6264205,N
19,19-30,Male,Medium,8,897.8833779,N
19,19-30,Male,Medium,2,482.4097749,N
19,19-30,Male,Medium,10,2163.174362,Y
19,19-30,Male,Medium,4,1145.761517,N
19,19-30,Female,Medium,5,1115.071048,N
19,19-30,Male,Medium,8,3270.736179,Y
19,19-30,Male,Medium,1,230.7528486,N
19,19-30,Female,Medium,5,393.9406555,N
19,19-30,Female,Medium,5,945.2884977,N
19,19-30,Male,Medium,8,437.7946541,N
19,19-30,Male,Medium,6,809.2416028,N
19,19-30,Female,Medium,2,554.790119,N
19,19-30,Male,Medium,6,281.7443072,N
19,19-30,Female,Medium,1,166.4543136,N
19,19-30,Male,Medium,10,4487.762268,Y
19,19-30,Male,Medium,4,358.4011525,N
19,19-30,Male,Medium,2,322.3820923,N
19,19-30,Female,Medium,9,3069.95315,Y
19,19-30,Female,Medium,8,721.4287971,N
19,19-30,Female,Medium,1,231.3383055,N
19,19-30,Female,Medium,6,1049.857256,N
19,19-30,Female,Medium,5,216.5919938,N
19,19-30,Male,Medium,10,2771.080441,Y
19,19-30,Male,Medium,2,190.1982384,N
19,19-30,Male,Medium,1,333.2574048,N
19,19-30,Female,Medium,10,698.6740543,N
19,19-30,Female,Medium,4,1169.505961,N
19,19-30,Female,Medium,3,389.8193147,N
19,19-30,Male,Medium,8,2998.713839,Y
19,19-30,Female,Medium,1,481.2908484,N
19,19-30,Male,Medium,3,556.5090571,N
19,19-30,Female,Medium,7,675.5455974,N
19,19-30,Male,Medium,7,2268.576644,Y
19,19-30,Female,Medium,10,1237.303627,N
19,19-30,Male,Medium,8,1213.838267,N
19,19-30,Female,Medium,9,781.5715662,N
19,19-30,Female,Medium,2,321.0011545,N
19,19-30,Male,Medium,1,319.8218808,N
19,19-30,Male,Medium,4,903.7315263,N
19,19-30,Male,Medium,3,1049.109149,N
19,19-30,Female,Medium,9,826.5581412,N
19,19-30,Female,Medium,1,494.8323329,N
19,19-30,Male,Medium,10,4179.745292,Y
19,19-30,Male,Medium,5,1260.25709,N
19,19-30,Male,Medium,7,2551.959526,Y
19,19-30,Female,Medium,5,447.2552893,N
19,19-30,Female,Medium,5,1709.680348,Y
19,19-30,Male,Medium,9,2099.690556,Y
19,19-30,Male,Medium,5,2369.043635,Y
19,19-30,Female,Medium,1,322.0704945,N
19,19-30,Male,Medium,1,374.5188041,N
19,19-30,Male,Medium,2,913.5776144,N
19,19-30,Female,Medium,3,1093.570692,N
19,19-30,Male,Medium,2,823.1498906,N
19,19-30,Male,Medium,4,818.2535418,N
19,19-30,Male,Medium,2,837.5549052,N
19,19-30,Female,Medium,2,92.41725917,N
19,19-30,Female,Medium,8,3813.44008,Y
19,19-30,Female,Medium,5,1563.163215,Y
19,19-30,Male,Medium,6,2996.91749,Y
19,19-30,Male,Medium,7,2912.848317,Y
19,19-30,Male,Medium,4,1563.744369,Y
19,19-30,Male,Medium,8,2351.316966,Y
19,19-30,Male,Medium,5,2001.909715,Y
19,19-30,Male,Medium,3,413.8118348,N
19,19-30,Male,Medium,1,92.79593816,N
19,19-30,Male,Medium,8,1811.810949,Y
19,19-30,Male,Medium,5,2291.145137,Y
19,19-30,Female,Medium,2,36.5121103,N
19,19-30,Female,Medium,1,490.1940513,N
19,19-30,Female,Medium,3,1197.082874,N
19,19-30,Male,Medium,3,1361.928231,N
19,19-30,Male,Medium,9,3242.66099,Y
19,19-30,Male,Medium,8,3437.610428,Y
19,19-30,Female,Medium,3,735.9041836,N
19,19-30,Male,Medium,3,1467.700338,Y
19,19-30,Female,Medium,6,2531.104192,Y
19,19-30,Male,Medium,3,1135.690691,N
19,19-30,Male,Medium,2,333.7773957,N
19,19-30,Female,Medium,2,326.9394418,N
19,19-30,Male,Medium,3,306.729741,N
19,19-30,Male,Medium,3,214.0040579,N
19,19-30,Male,Medium,1,408.254189,N
19,19-30,Female,Medium,10,2123.728641,Y
19,19-30,Female,Medium,1,62.27049592,N
19,19-30,Female,Medium,5,260.0191541,N
19,19-30,Female,Medium,4,96.25285528,N
19,19-30,Female,Medium,10,3099.891486,Y
19,19-30,Female,Medium,8,2566.361422,Y
19,19-30,Male,Medium,1,394.8846129,N
19,19-30,Male,Medium,1,411.3338879,N
19,19-30,Male,Medium,2,612.4647874,N
19,19-30,Male,Medium,5,1635.054107,Y
19,19-30,Male,Medium,4,732.5925671,N
19,19-30,Male,Medium,2,962.50784,N
19,19-30,Male,Medium,8,1801.604186,Y
19,19-30,Male,Medium,1,170.2294768,N
19,19-30,Female,Medium,6,1822.414617,Y
19,19-30,Male,Medium,5,2471.039316,Y
19,19-30,Female,Medium,7,3373.673666,Y
19,19-30,Male,Medium,5,760.5714972,N
19,19-30,Female,Medium,2,991.1715802,N
19,19-30,Female,Medium,10,2269.799219,Y
19,19-30,Male,Medium,2,575.9756511,N
19,19-30,Female,Medium,2,309.9860913,N
19,19-30,Male,Medium,3,807.2517685,N
19,19-30,Female,Medium,6,1006.832773,N
19,19-30,Male,Medium,7,2744.989331,Y
19,19-30,Male,Medium,10,4233.009433,Y
19,19-30,Male,Medium,10,1735.548692,Y
19,19-30,Female,Medium,10,1673.462369,Y
19,19-30,Female,Medium,1,389.0725381,N
19,19-30,Male,Medium,8,3371.664619,Y
19,19-30,Female,Medium,2,104.7644609,N
19,19-30,Female,Medium,6,1726.882622,Y
19,19-30,Male,Medium,3,859.7635511,N
19,19-30,Male,Medium,6,1881.322977,Y
19,19-30,Female,Medium,4,201.3332345,N
19,19-30,Male,Medium,2,201.8612038,N
19,19-30,Male,Medium,8,2745.665495,Y
19,19-30,Male,Medium,10,1662.127431,Y
19,19-30,Male,Medium,7,1047.658796,N
19,19-30,Female,Medium,1,14.29867619,N
19,19-30,Female,Medium,8,315.7553859,N
19,19-30,Male,Medium,2,411.0858112,N
19,19-30,Male,Medium,9,4296.200912,Y
19,19-30,Female,Medium,2,216.8505628,N
19,19-30,Male,Medium,5,1316.487676,N
19,19-30,Male,Medium,2,189.1397335,N
19,19-30,Female,Medium,1,31.56492098,N
19,19-30,Female,Medium,5,2140.894849,Y
19,19-30,Male,Medium,1,177.0014257,N
19,19-30,Male,Medium,4,674.9221215,N
19,19-30,Male,Medium,9,2955.438642,Y
19,19-30,Female,Medium,3,1323.996299,N
19,19-30,Female,Medium,9,595.3285315,N
19,19-30,Male,Medium,3,1305.477531,N
19,19-30,Male,Medium,9,2471.576541,Y
19,19-30,Female,Medium,5,2495.104562,Y
19,19-30,Female,Medium,3,381.2271031,N
19,19-30,Male,Medium,7,1565.002623,Y
19,19-30,Female,Medium,2,450.6008022,N
19,19-30,Female,Medium,6,1006.015983,N
19,19-30,Female,Medium,1,223.3686157,N
19,19-30,Female,Medium,9,418.7463603,N
19,19-30,Male,Medium,5,75.12073747,N
19,19-30,Male,Medium,6,1994.59374,Y
19,19-30,Female,Medium,4,1270.992798,N
19,19-30,Male,Medium,9,421.0288867,N
19,19-30,Female,Medium,10,4024.803265,Y
19,19-30,Male,Medium,7,2266.534524,Y
19,19-30,Male,Medium,2,818.3736231,N
19,19-30,Male,Medium,6,2916.77006,Y
19,19-30,Male,Medium,3,1343.050863,N
19,19-30,Male,Medium,3,654.4599603,N
19,19-30,Female,Medium,10,912.0658069,N
19,19-30,Male,Medium,7,2437.08022,Y
19,19-30,Male,Medium,6,2024.877947,Y
19,19-30,Male,Medium,3,170.7662809,N
19,19-30,Female,Medium,5,2425.431402,Y
19,19-30,Male,Medium,1,134.0472242,N
